region,locale,administrative_area,site,plot_type,UTM_northing,UTM_easting,plot_ID,area,polygon_ID,polygon_sub_unit,chamber_type,date,flux_CO2,flux_CO2_se,flux_CO2_Pvalue,flux_CO2_Rsquared,flux_CH4,flux_CH4_se,CH4_Pvalue,CH4_Rsquared,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Trns,2013-08-07,-4.263,0.05069,2.00E-16,0.9959,19.379,0.1653,2.00E-16,0.9979,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Trns,2013-08-14,-3.588,0.0337,2.00E-16,0.9969,17.001,0.2563,2.00E-16,0.9921,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Trns,2013-09-05,0.772,0.00497,2.00E-16,0.9981,10.61,0.2331,2.00E-16,0.9787,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-09-08,0.611,0.0048,2.00E-16,0.997,10.37,0.31,2.00E-16,0.9589,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Trns,2013-09-08,0.957,0.03558,1.17E-10,0.985,17.121,0.4751,6.43E-12,0.9916,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-07-10,0.797,0.01016,2.00E-16,0.9923,9.66,0.1602,2.00E-16,0.9924,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-08-14,2.036,0.01048,2.00E-16,0.9991,17.69,0.5066,2.00E-16,0.9721,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-09-05,0.551,0.00575,2.00E-16,0.9958,9.198,0.303,2.00E-16,0.9594,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-10-03,0.167,0.00182,2.00E-16,0.9912,4.61,0.0213,2.00E-16,0.9984,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-08-07,1.211,0.0121,2.00E-16,0.9968,168.7,0.6004,2.00E-16,0.9996,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Trns,2013-08-07,-8.552,0.2514,3.81E-12,0.9924,309.7,6.339,3.11E-13,0.9954,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Trns,2013-08-14,-4.706,0.03083,2.00E-16,0.9985,201.2,3.211,2.00E-16,0.9914,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Trns,2013-09-05,-1.543,0.03385,6.21E-13,0.9947,67.752,2.051,1.53E-11,0.99,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-09-08,0.627,0.00279,2.00E-16,0.9989,81.86,0.0912,2.00E-16,0.9999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Trns,2013-09-08,-0.032,0.00196,2.00E-16,0.8523,76.86,0.13,2.00E-16,0.9999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-07-10,1.034,0.01096,2.00E-16,0.9959,68.27,0.5063,2.00E-16,0.998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-08-14,1.275,0.01286,2.00E-16,0.9929,138.66,1.47,2.00E-16,0.9922,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-09-05,0.32,0.00331,2.00E-16,0.9969,48.994,1.114,2.00E-16,0.9852,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910412.771,585535.482,A1T,A,1,Tr,Opq,2013-10-03,0.108,0.00174,2.00E-16,0.9793,33.34,0.0286,2.00E-16,0.9999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-08-07,0.963,0.00977,2.00E-16,0.9964,97.733,1.083,2.00E-16,0.9957,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Trns,2013-08-07,-2.923,0.01128,2.00E-16,0.9996,86.581,0.437,2.00E-16,0.9992,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Trns,2013-08-14,-1.425,0.02317,2.00E-16,0.9934,141.606,6.276,2.00E-16,0.9531,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-09-08,0.379,0.002,2.00E-16,0.9987,82.33,0.3976,2.00E-16,0.9989,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Trns,2013-09-08,0.268,0.00224,2.00E-16,0.9962,74.095,0.3655,2.00E-16,0.9987,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-07-10,0.607,0.00317,2.00E-16,0.9989,86.749,0.715,2.00E-16,0.9974,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-08-14,1.225,0.00825,2.00E-16,0.9974,123.659,1.022,2.00E-16,0.9961,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-09-05,1.122,0.01909,2.00E-16,0.9877,73.97,0.5039,2.00E-16,0.998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.629,585531.746,A4C,A,4,Ce,Opq,2013-10-03,0.206,0.00174,2.00E-16,0.9958,15.08,0.0432,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-08-07,1.401,0.01774,2.00E-16,0.9955,57.928,1.268,2.00E-16,0.9868,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Trns,2013-08-07,-2.46,0.01348,2.00E-16,0.9989,56.54,0.1217,2.00E-16,0.9998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Trns,2013-08-14,-1.388,0.01206,2.00E-16,0.9978,47.994,0.4609,2.00E-16,0.9973,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Trns,2013-09-05,-0.159,0.00535,2.00E-16,0.9713,31.335,0.2107,2.00E-16,0.9988,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-09-08,0.576,0.00443,2.00E-16,0.9977,26.67,0.1832,2.00E-16,0.9982,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Trns,2013-09-08,-0.219,0.00201,-2.00E-16,0.995,26.28,0.094,2.00E-16,0.9992,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-07-10,1.011,0.01139,2.00E-16,0.9955,34.207,0.2243,2.00E-16,0.9985,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-08-14,0.916,0.00496,2.00E-16,0.9987,48.43,0.3081,2.00E-16,0.9983,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-09-05,0.433,0.00554,2.00E-16,0.9932,25.34,0.1944,2.00E-16,0.9975,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910489.112,585528.975,A4E,A,4,Ed,Opq,2013-10-03,0.134,0.00135,2.00E-16,0.9945,14.67,0.2181,2.00E-16,0.988,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-08-07,1.407,0.00664,2.00E-16,0.9991,97.13,0.5908,2.00E-16,0.9985,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Trns,2013-08-07,-8.422,0.2037,1.64E-12,0.9936,90.3,0.8258,2.00E-16,0.9991,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Trns,2013-08-14,-3.044,0.02008,2.00E-16,0.9989,98.6,0.3386,2.00E-16,0.9997,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Trns,2013-09-05,-0.126,0.00556,2.00E-16,0.9298,53.29,0.0998,2.00E-16,0.9999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-09-08,1.19,0.0036,2.00E-16,0.9995,52.756,0.137,2.00E-16,0.9996,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Trns,2013-09-08,0.463,0.00191,2.00E-16,0.9993,51.42,0.1206,2.00E-16,0.9998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-07-10,0.674,0.00211,2.00E-16,0.9994,42.02,0.6663,2.00E-16,0.9839,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-08-14,2.273,0.01801,2.00E-16,0.9975,91.67,0.6177,2.00E-16,0.9982,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-09-05,1.314,0.00456,2.00E-16,0.9994,60.21,0.3317,2.00E-16,0.9986,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910490.601,585525.428,A4T,A,4,Tr,Opq,2013-10-03,0.266,0.00068,2.00E-16,0.9994,24.53,0.0564,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910271,585645,ABHC,AB,H,Ce,Opq,2013-07-11,0.544,0.00417,2.00E-16,0.9977,-0.119,0.008,2.00E-16,0.8497,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910271,585645,ABHE,AB,H,Ed,Opq,2013-07-11,0.284,0.00824,2.00E-16,0.9842,-0.073,0.0271,1.44E-02,0.2498,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910271,585645,ABHT,AB,H,Tr,Opq,2013-07-11,1.436,0.00449,2.00E-16,0.9994,19.43,0.0541,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910327,585645,ABTC,AB,T,Ce,Opq,2013-07-11,1.164,0.00633,2.00E-16,0.9988,9.058,0.0512,2.00E-16,0.9987,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910327,585645,ABTE,AB,T,Ed,Opq,2013-07-11,0.114,0.00571,2.00E-16,0.8809,0.159,0.0251,5.17E-08,0.4206,,,,,,
North Slope,Barrow,BEO,AB transect,Biogeochemistry,7910327,585645,ABTT,AB,T,Tr,Opq,2013-07-11,1.612,0.00666,2.00E-16,0.9992,42.08,0.1882,2.00E-16,0.999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-07-05,2.268,0.0227,2.00E-16,0.9959,-0.069,0.0871,4.32E-01,-0.0091,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Trns,2013-08-07,-1.403,0.02758,2.00E-13,0.9958,-0.394,0.1309,1.31E-02,0.4232,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-09-08,0.348,0.00377,2.00E-16,0.9936,-0.1,0.0053,2.00E-16,0.8648,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-07-12,0.669,0.00563,2.00E-16,0.9967,-0.022,0.0066,1.56E-03,0.1799,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-08-07,1.433,0.02042,2.00E-16,0.9962,0.089,0.0519,1.05E-01,0.0912,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-09-05,0.311,0.00337,2.00E-16,0.9954,-0.115,0.0088,2.00E-16,0.7823,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910293.239,585839.4754,B3C,B,3,Ce,Opq,2013-10-02,0.036,0.00119,2.00E-16,0.9454,0.067,0.0063,1.17E-14,0.6722,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-07-05,2.239,0.01109,2.00E-16,0.9991,-0.023,0.0655,7.28E-01,-0.0257,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Trns,2013-08-07,-3.425,0.0658,1.79E-12,0.9963,2.023,0.058,6.41E-11,0.9919,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-09-08,0.671,0.0074,2.00E-16,0.9967,3.004,0.0481,2.00E-16,0.9931,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Trns,2013-09-08,-0.033,0.00502,1.02E-07,0.5177,0.248,0.048,7.75E-06,0.3977,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-07-12,0.954,0.01156,2.00E-16,0.9916,0.154,0.0051,2.00E-16,0.9408,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-08-07,1.225,0.00557,2.00E-16,0.9994,1.436,0.0365,2.00E-16,0.9804,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-09-05,0.687,0.01135,2.00E-16,0.9932,3.224,0.0602,2.00E-16,0.9914,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910295.087,585842.491,B3E,B,3,Ed,Opq,2013-10-02,0.83,0.00579,2.00E-16,0.9982,1.372,0.0155,2.00E-16,0.9952,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-07-05,4.133,0.03335,2.00E-16,0.9957,5.891,0.0843,2.00E-16,0.9865,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Trns,2013-08-07,-4.903,0.03208,2.00E-16,0.9985,45.5,0.2088,2.00E-16,0.9993,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-09-08,0.982,0.00937,2.00E-16,0.9963,17.7,0.1698,2.00E-16,0.9962,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Trns,2013-09-08,0.539,0.00215,2.00E-16,0.9992,21.314,0.1125,2.00E-16,0.9986,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-07-12,3.71,0.01634,2.00E-16,0.9992,5.17,0.0504,2.00E-16,0.9959,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-08-07,2.411,0.01747,2.00E-16,0.9984,43.936,0.373,2.00E-16,0.9978,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-09-05,1.531,0.01555,2.00E-16,0.9954,21.29,0.0914,2.00E-16,0.9992,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910298.059,585843.417,B3T,B,3,Tr,Opq,2013-10-02,0.377,0.00304,2.00E-16,0.9975,10.76,0.0931,2.00E-16,0.9971,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-07-05,2.604,0.01996,2.00E-16,0.9978,0.067,0.0898,4.63E-01,-0.0123,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-08-08,1.066,0.01354,2.00E-16,0.9937,2.221,0.061,2.00E-16,0.9714,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Trns,2013-08-08,-1.994,0.05996,1.43E-11,0.9901,2.867,0.0549,2.00E-16,0.9891,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Trns,2013-08-16,-1.93,0.02002,2.00E-16,0.9962,3.975,0.0698,2.00E-16,0.9893,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Trns,2013-09-04,-0.469,0.02131,8.39E-10,0.9778,2.96,0.0936,2.34E-11,0.9891,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-07-12,0.619,0.0204,2.00E-16,0.9514,0.068,0.0011,2.85E-07,0.4272,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-08-16,0.924,0.00919,2.00E-16,0.995,2.178,0.0606,2.00E-16,0.962,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-09-04,0.306,0.0151,2.00E-16,0.9316,0.752,0.0542,2.42E-14,0.8648,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910369.982,585955.904,C3C,C,3,Ce,Opq,2013-10-02,1.192,0.00916,2.00E-16,0.9983,2.775,0.0378,2.00E-16,0.9948,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-07-05,2.562,0.03528,2.00E-16,0.9945,-1.481,0.18,5.93E-09,0.6969,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-08-08,0.524,0.00853,2.00E-16,0.9898,-0.114,0.0085,4.46E-16,0.8229,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Trns,2013-08-08,-1.475,0.02251,1.67E-14,0.9974,-0.191,0.021,4.00E-10,0.7249,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Trns,2013-08-16,-1.361,0.022,2.00E-16,0.9917,-0.192,0.0187,1.75E-11,0.765,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Trns,2013-09-04,-0.716,0.00481,2.00E-16,0.9983,0.213,0.022,9.88E-12,0.711,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-07-12,0.681,0.00611,2.00E-16,0.9946,-0.245,0.0126,2.00E-16,0.8501,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-08-16,0.891,0.00616,2.00E-16,0.9957,-0.11,0.0043,2.00E-16,0.8763,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-09-04,0.427,0.00213,2.00E-16,0.998,-0.118,0.0037,2.00E-16,0.9275,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.304,585950.088,C3E,C,3,Ed,Opq,2013-10-02,0.343,0.00537,2.00E-16,0.9882,0.172,0.0192,1.72E-12,0.5718,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-07-05,3.241,0.04385,2.00E-16,0.9998,55.558,0.1658,2.00E-16,0.9991,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-08-08,1.408,0.01843,2.00E-16,0.9939,60.16,0.22,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Trns,2013-08-08,-4.031,0.03483,2.00E-16,0.9979,51.838,0.512,2.00E-16,0.9973,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Trns,2013-08-16,-3.599,0.02637,2.00E-16,0.9988,55.94,0.5267,2.00E-16,0.998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Trns,2013-09-04,-1.387,0.00502,2.00E-16,0.9997,28.81,0.0756,2.00E-16,0.9998,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-07-12,2.466,0.01128,2.00E-16,0.999,11.63,0.0595,2.00E-16,0.9988,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-08-16,1.551,0.00981,2.00E-16,0.9977,63.15,0.1557,2.00E-16,0.9996,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-09-04,1.498,0.00763,2.00E-16,0.9988,27.96,0.1387,2.00E-16,0.999,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910372.107,585947.409,C3T,C,3,Tr,Opq,2013-10-02,1.895,0.05031,2.00E-16,0.9686,8.531,0.0651,2.00E-16,0.9973,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910146,585488,Z210C,Z,210,Ce,Opq,2013-07-11,1.086,0.01174,2.00E-16,0.9957,-0.45,0.0069,2.00E-16,0.9914,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910146,585488,Z210C,Z,210,Ce,Opq,2013-08-12,1.864,0.00795,2.00E-16,0.9991,0.004,0.0093,6.52E-01,-0.0172,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910146,585488,Z210C,Z,210,Ce,Opq,2013-09-07,0.413,0.00259,2.00E-16,0.9984,-0.019,0.0068,7.58E-03,0.1477,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910146,585488,Z210C,Z,210,Ce,Opq,2013-10-04,0.171,0.00222,2.00E-16,0.9908,-0.01,0.0051,6.34E-02,0.045,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210E,Z,210,Ed,Opq,2013-07-11,0.877,0.00409,2.00E-16,0.9989,-0.095,0.0148,6.45E-08,0.4412,,,,,,
